"month";"category";"revenue";"units";"avg_price"
"2017-03";"bed_bath_table";25120.02;279;90.035914
"2017-03";"books_general_interest";2533.96;24;105.581667
"2017-03";"books_technical";75.0;2;37.5
"2017-03";"computers_accessories";28078.8;171;164.203509
"2017-03";"consoles_games";9834.04;47;209.234894
"2017-03";"construction_tools_construction";38.9;1;38.9
"2017-03";"cool_stuff";20583.33;118;174.435
"2017-03";"drinks";463.87;5;92.774
"2017-03";"dvds_blu_ray";453.7;4;113.425
"2017-03";"electronics";3986.0;37;107.72973
"2017-03";"fashio_female_clothing";19.9;1;19.9
"2017-03";"fashion_bags_accessories";4786.36;66;72.520606
"2017-03";"fashion_male_clothing";580.8;9;64.533333
"2017-03";"fashion_shoes";1515.0;14;108.214286
"2017-03";"fashion_sport";39.9;1;39.9
"2017-03";"fashion_underwear_beach";394.14;6;65.69
"2017-03";"fixed_telephony";1333.45;20;66.6725
"2017-03";"food";2412.66;21;114.888571
"2017-03";"food_drink";85.8;4;21.45
"2017-03";"furniture_decor";22133.47;315;70.264984
"2017-03";"furniture_living_room";3324.0;24;138.5
"2017-03";"garden_tools";23508.76;146;161.018904
"2017-03";"health_beauty";25652.45;208;123.329087
